CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
Afghanistan,106.7,2784640,2541535,2255620,1900870,1486209,1124099,904035,752760,598745,456205,345026,263802,196711,150692,98009,54820,23828,7270,1359,264,80
Albania,65.2,86961,88422,110594,130202,133564,111280,86227,77975,85809,92306,100168,91265,74954,58296,49874,38544,20701,8140,2401,406,26
Algeria,78.7,2223011,1770352,1476281,1655535,1849177,1909803,1775449,1480723,1261381,1055900,837001,672576,517176,319023,247299,174145,98869,36411,9442,1452,96
Angola,87.1,2444057,1974654,1580434,1317965,1147258,980216,795529,635862,510282,430708,350688,263433,179957,122768,81788,48974,21197,6368,1473,366,94
Antigua and Barbuda,58,3211,3255,3457,3699,3549,3413,3180,3045,3180,3144,2604,2049,1562,1051,695,496,299,146,53,12,1
Argentina,46.1,1865363,1801780,1786535,1806232,1762826,1661773,1623865,1513281,1275777,1143367,1056707,965026,830367,678504,496705,340975,208004,100957,34743,8139,1176
Armenia,71.3,109019,94365,91588,107437,139043,124375,93350,74053,74574,76626,99368,81532,56697,29777,30995,26609,13987,5221,530,45,4
Australia,25.4,781053,749181,714985,752058,839692,872968,828212,775555,817168,757771,763758,685373,615364,534307,382929,276482,194769,111432,36693,6114,534
Austria,26.9,204989,206820,213734,244004,275334,280281,283294,272453,319299,358687,331864,269043,227279,196057,200317,113261,84543,43173,13203,1531,218
Azerbaijan,78.2,482760,402627,341623,404676,465036,450801,386752,317777,306507,313064,304515,212948,129514,63458,59781,51529,24274,7225,1170,98,8
Bahamas,54.7,14304,16288,16505,16766,16005,14045,14082,14270,14258,13165,11360,8222,5628,4171,3072,1972,1057,463,142,34,4
Bahrain,62.9,47761,42651,37893,37407,64274,124049,119932,90116,71659,53833,40174,27755,14315,6443,4248,2524,1417,631,165,22,1
Bangladesh,92.5,7684007,8399642,8584470,7989606,7405122,6612393,5768021,4949645,4425834,3720661,3097834,2595085,1912795,1436282,1036352,663093,341805,129746,30969,3530,114
Barbados,50.8,8488,9160,9690,9006,9542,9239,9127,9231,9721,9618,9582,8626,6768,5225,3643,2798,1830,764,212,36,2
Belarus,76.7,290128,247816,240099,246663,331588,404660,376043,333534,315231,306341,359238,325327,250756,150582,121564,98282,56380,22268,4199,498,43
Belgium,30.9,329910,322728,311564,322716,351545,347077,365795,360287,393135,411535,402744,363433,321432,273166,195047,171793,124615,62039,19606,2120,233
Belize,67.2,18910,19495,19659,18428,16987,14771,12579,10973,9755,8230,6919,5202,3873,2679,1931,1376,857,357,79,11,0
Benin,77.9,879024,748695,637738,559838,471232,394786,324219,261594,218467,180942,143043,108692,78312,58805,40595,23271,11270,4082,910,102,5
Bhutan,81.8,33236,35040,36669,41020,44566,40010,34359,26817,21363,17982,14577,12408,9536,7265,5567,3887,2244,884,223,28,3
Bolivia,80.8,642307,615438,589877,565218,531266,464029,394501,339874,291508,246462,206351,162696,124834,99147,66384,39556,19737,6959,1510,210,21
Bosnia and Herzegovina,76.5,91045,92331,101325,122345,123281,134960,133455,128625,123060,130922,136523,126773,103370,70416,61454,48772,25330,8896,2352,353,64
